MillisSinceGpsEpoch,ConstellationType,Svid,SvPositionXEcefMeters,SvPositionYEcefMeters,SvPositionZEcefMeters,correctedPrM
1273608785000,1,5,15600000.0,7540000.0,20140000.0,23371858.2
1273608785000,1,7,18760000.0,2750000.0,18610000.0,22493555.4
1273608785000,1,13,17610000.0,14630000.0,13480000.0,22819163.8
1273608785000,1,14,19170000.0,610000.0,18390000.0,22383076.1
1273608785000,1,18,12500000.0,19500000.0,13500000.0,24036881.5
1273608785000,1,20,11100000.0,12100000.0,20100000.0,23351239.3
1273608785000,1,24,19800000.0,5500000.0,16500000.0,22378902.7
1273608785000,1,28,14500000.0,16500000.0,15500000.0,23801244.1
1273608785000,1,30,16500000.0,9500000.0,18500000.0,22964812.9
1273608785000,1,32,18500000.0,3500000.0,18500000.0,22340561.0
